Log Start: [17:13:54]
Rule (42): «oper»«consumpt»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (43): «consumpt»«hvac»
Rule (43): «consumpt»«hvac»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (44): «hvac»«consumpt»
Rule (44): «hvac»«consumpt»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (45): «consumpt»«cool»
Rule (45): «consumpt»«cool»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (46): «cool»«consumpt»
Rule (46): «cool»«consumpt»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (47): «wast»«recycl»
Rule (47): «wast»«recycl»«8888.0000»«-0.2500»«4.0000»«1.0000»«0.1875»«0.2500»«1.0000»
Rule (48): «recycl»«wast»
Rule (48): «recycl»«wast»«8888.0000»«-0.2500»«4.0000»«1.0000»«0.1875»«0.2500»«1.0000»
Rule (49): «wast»«wast_manag»
Rule (49): «wast»«wast_manag»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (50): «wast_manag»«wast»
Rule (50): «wast_manag»«wast»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (51): «wast»«plan»
Rule (51): «wast»«plan»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (52): «plan»«wast»
Rule (52): «plan»«wast»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (53): «toilet»«sanitari»
Rule (53): «toilet»«sanitari»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (54): «sanitari»«toilet»
